届出番号,候補者名,新聞表記_姓,新聞表記_名,党派,現元新,得票数,当落
1,小林 よしのり,小林,義典,無所属,新,992,当
2,かとう 貞一郎,加藤,貞一郎,無所属,現,"1,119",当
3,松原 栄樹,松原,栄樹,無所属,現,"1,079",当
4,田渕 潤次,田淵,潤治,無所属,新,204,
5,植中 みやこ,植中,都,無所属,現,"1,051",当
6,立入 よしはる,立入,善治,日本共産党,現,958,当
7,望月 たかし,望月,卓,無所属,現,906,当
8,小山 まさのり,小山,正則,無所属,新,474,
9,松井 けい子,松井,圭子,日本共産党,現,"1,475",当
10,くわはらだ 美知子,桑原田,美知子,公明党,現,"1,482",当
11,上野 けんすけ,上野,顕介,無所属,現,"1,171",当
12,すがぬま 利紀,菅沼,利紀,自由民主党,現,"2,622",当
13,松山 かつ子,松山,克子,無所属,現,818,
14,大島 正秀,大島,正秀,無所属,新,994,当
15,森 すなお,森,淳,無所属,現,897,当
16,細川 ゆかり,細川,ゆかり,公明党,新,"1,550",当
17,堀田 しげき,堀田,繁樹,無所属,現,828,当
18,あわづ ひろみ,粟津,寛三,無所属,現,532,
19,藤川 みゆき,藤川,みゆき,無所属,現,"1,596",当
20,赤祖父 ゆみ,赤祖父,裕美,無所属,現,"1,786",当
21,奥村 みきお,奥村,幹郎,無所属,新,866,当
22,大角 みちお,大角,道雄,無所属,新,"1,018",当
