議会会期,議案番号,件名,上野顕介,森淳,藤川みゆき,大島正秀,菅沼利紀,加藤貞一郎,小林義典,奥村幹郎,望月卓,堀田繁樹,植中都,松原栄樹,赤祖父裕美,立入善治,松井圭子,桑原田美知子,細川ゆかり,中土翔太
2021年6月議会,請願第1号,国に対し、「刑事訴訟法の再審規定（再審法）の改正を求める意見書」の提出を求める請願書,●,●,●,●,●,●,●,●,●,●,（議長）,●,○,○,○,●,●,○
2021年6月議会,請願第2号,75歳以上医療費窓口負担２割化撤回を求める請願,●,●,●,●,●,●,●,●,●,●,（議長）,●,●,○,○,●,●,●
2021年6月議会,請願第3号,加齢性難聴者の補聴器購入に対する公的補助制度の創設を求める請願,●,●,●,●,●,●,●,●,●,●,（議長）,●,●,○,○,●,●,●
2021年6月議会,議案第43号,第四次湖南市行政改革大綱の策定について,○,○,○,○,○,○,○,○,○,○,（議長）,○,○,●,●,○,○,○
2021年3月議会,議案第5号,指定居宅サービス等の事業の人員、設備及び運営に関する基準等の一部を改正する省令の施行に伴う関係条例の整理に関する条例の制定について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）,〇,〇,●,●,〇,〇,〇
2021年3月議会,議案第11号,湖南市介護保険条例の一部を改正する条例の制定について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）,〇,〇,●,●,〇,〇,〇
2021年3月議会,議案第21号,令和３年度湖南市一般会計予算,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）,〇,〇,●,●,〇,〇,〇
2021年3月議会,議案第22号,令和３年度湖南市国民健康保険特別会計予算,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）,〇,〇,●,●,〇,〇,〇
2021年3月議会,議案第24号,令和３年度湖南市後期高齢者医療特別会計予算,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）,〇,〇,●,●,〇,〇,〇
2021年3月議会,議案第25号,令和３年度湖南市介護保険特別会計予算,〇,〇,〇,〇,●,〇,〇,〇,〇,〇,（議長）,〇,〇,●,●,〇,〇,〇
2021年3月議会,意見書第1号,75歳以上の医療費窓口負担２割化に反対する意見書,●,●,●,●,●,●,●,〇,〇,●,（議長）,●,●,〇,〇,●,●,●
2021年3月議会,意見書第2号,新型コロナウイルス感染抑止のための社会的検査を求める意見書,●,●,●,●,●,●,●,●,●,●,（議長）,●,●,〇,〇,●,●,●
2021年3月議会,意見書第3号,気候非常事態宣言と着実な目標達成をめざす政策をすすめる意見書,●,●,●,●,●,●,●,〇,〇,〇,（議長）,●,●,〇,〇,●,●,〇
2020年12月議会,意見書第5号,日本学術会議会員候補者の任命拒否をした６名を直ちに任命することを求める意見書,●,●,●,●,●,●,●,〇,●,●,（議長）,〇,〇,〇,〇,●,●,●
2020年12月議会,議案第109号,湖南市職員の給与に関する条例等の一部を改正する条例の制定について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）,〇,〇,●,●,〇,〇,〇
2020年12月議会,議案第115号,令和２年度湖南市一般会計補正予算（第９号）,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）,〇,〇,●,●,〇,〇,〇
2020年9月議会,請願第2号,『東庁舎周辺整備計画』の白紙撤回を求める請願,〇,〇,〇,〇,●,●,●,●,●,●,（議長）,●,●,●,●,●,●,（未選出）
2020年9月議会,議案第80号,令和元年度湖南市一般会計歳入歳出決算の認定について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）,〇,〇,●,●,〇,〇,（未選出）
2020年9月議会,議案第81号,令和元年度湖南市国民健康保険特別会計歳入歳出決算の認定について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）,〇,〇,●,●,〇,〇,（未選出）
2020年9月議会,議案第83号,令和元年度湖南市後期高齢者医療特別会計歳入歳出決算の認定について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）,〇,〇,●,●,〇,〇,（未選出）
2020年9月議会,議案第84号,令和元年度湖南市介護保険特別会計歳入歳出決算の認定について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）,〇,〇,●,●,〇,〇,（未選出）
2020年5月-6月議会,承認第3号,専決処分の承認を求めることについて（専決第3号湖南市保育園設置条例及び湖南市立認定こども園条例の一部を改正する等の条例の一部を改正する条例の制定について）,●,●,●,●,〇,（議長）,〇,●,●,●,〇,〇,〇,〇,〇,〇,〇,（未選出）
2020年5月-6月議会,決議第1号,新型コロナウイルス感染症対策に関する決議,〇,〇,〇,〇,●,（議長）,●,〇,〇,〇,〇,〇,〇,〇,〇,●,●,（未選出）
2020年5月-6月議会,承認第7号,湖南市特別職の職員の給与等に関する条例の一部を改正する条例の制定について,〇,〇,〇,〇,●,（議長）,●,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（未選出）
2020年3月議会,議案第1号,湖南市受動喫煙の防止に関する条例の制定について,●,●,●,●,●,（議長）,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（未選出）
2020年3月議会,議案第7号,湖南市学校給食センター設置条例の一部を改正する条例の制定について,●,●,●,●,〇,（議長）,〇,〇,〇,〇,●,●,●,●,●,〇,〇,（未選出）
2020年3月議会,議案第19号,令和２年度湖南市一般会計予算,〇,〇,〇,〇,〇,（議長）,〇,〇,〇,〇,〇,〇,〇,●,●,〇,〇,（未選出）
2020年3月議会,議案第20号,令和２年度湖南市国民健康保険特別会計予算,〇,〇,〇,〇,〇,（議長）,〇,〇,〇,〇,〇,〇,〇,●,●,〇,〇,（未選出）
2020年3月議会,議案第22号,令和２年度湖南市後期高齢者医療特別会計予算,〇,〇,〇,〇,〇,（議長）,〇,〇,〇,〇,〇,〇,〇,●,●,〇,〇,（未選出）
2020年3月議会,議案第23号,令和２年度湖南市介護保険特別会計予算,〇,〇,〇,〇,〇,（議長）,〇,〇,〇,〇,〇,〇,〇,●,●,〇,〇,（未選出）
2019年12月議会,議案第102号,指定管理者の指定について,〇,〇,〇,〇,〇,（議長）,〇,〇,〇,〇,〇,〇,〇,●,●,〇,〇,（未選出）
2019年12月議会,議案第104号,財産の減額貸付について,〇,〇,〇,〇,〇,（議長）,〇,〇,〇,〇,〇,〇,〇,●,●,〇,〇,（未選出）
2019年12月議会,議案第107号,湖南市議会議員の議員報酬及び費用弁償に関する条例及び湖南市特別職の職員の給与等に関する条例の一部を改正する条例の制定について,〇,〇,〇,〇,〇,（議長）,〇,〇,〇,〇,●,〇,〇,●,●,〇,〇,（未選出）
2019年12月議会,議案第109号,令和元年度湖南市一般会計補正予算（第５号）,〇,〇,〇,〇,〇,（議長）,〇,〇,〇,〇,〇,〇,〇,●,●,〇,〇,（未選出）
2019年11月議会,議案第49号,湖南市保育園設置条例及び湖南市立認定こども園条例の一部を改正する等の条例の制定について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）？,〇,●,●,〇,〇,（未選出）
2019年11月議会,議案第72号,財産の無償譲渡について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）？,〇,●,●,〇,〇,（未選出）
2019年11月議会,議案第73号,財産の無償譲渡について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）？,〇,●,●,〇,〇,（未選出）
2019年11月議会,議案第74号,財産の無償譲渡について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）？,〇,●,●,〇,〇,（未選出）
2019年11月議会,議案第75号,財産の無償譲渡について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）？,〇,●,●,〇,〇,（未選出）
2019年11月議会,議案第76号,財産の無償譲渡について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）？,〇,●,●,〇,〇,（未選出）
2019年11月議会,議案第77号,財産の無償譲渡について,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,（議長）？,〇,●,●,〇,〇,（未選出）
