選挙年,届出番号,前回届出番号,候補者名,新聞表記_姓,新聞表記_名,党派,現元新,得票数,前回得票数,当落,新聞当選回数,新聞年齢,定数,推薦_連合,
2005,？,？,？,谷,靖啓,無,現,"1,370",.,1,2,64,24,？,
2005,？,？,？,鈴木,美智枝,公,現,"1,170",.,1,2,64,24,？,
2005,？,？,？,中村,武治,無,現,"1,167",.,1,2,66,24,？,
2005,？,？,？,上西,保,無,現,"1,163",.,1,2,54,24,？,
2005,？,？,？,石原,善春,無,現,"1,152",.,1,2,55,24,？,
2005,？,？,？,鵜飼,八千子,公,現,"1,151",.,1,2,48,24,？,
2005,？,？,？,矢野,進次,無,現,"1,146",.,1,2,64,24,？,
2005,？,？,？,立入,勲,無,現,"1,077",.,1,2,67,24,？,
2005,？,？,？,植中,都,無,現,"1,066",.,1,2,60,24,？,
2005,？,？,？,山本,吉宗,無,現,"1,041",.,1,2,65,24,？,
2005,？,？,？,桑原田,郁郎,公,新,"1,020",.,1,1,47,24,？,
2005,？,？,？,大久保,英雄,共,現,992,.,1,2,63,24,？,
2005,？,？,？,上野,雅代,無,現,975,.,1,2,58,24,？,
2005,？,？,？,赤祖父,裕美,無,現,972,.,1,2,44,24,？,
2005,？,？,？,松山,克子,無,現,965,.,1,2,61,24,？,
2005,？,？,？,福島,清彦,無,現,907,.,1,2,63,24,？,
2005,？,？,？,伊地智,良雄,無,現,898,.,1,2,54,24,？,
2005,？,？,？,坂田,政富,共,現,890,.,1,2,61,24,？,
2005,？,？,？,森,淳,無,現,837,.,1,2,48,24,？,
2005,？,？,？,大継,健蔵,無,現,740,.,1,2,55,24,？,
2005,？,？,？,田中,文子,共,新,730,.,1,1,63,24,？,
2005,？,？,？,望月,卓,無,現,700,.,1,2,59,24,？,
2005,？,？,？,松本,浩有,無,現,473,.,1,2,69,24,？,
2005,？,？,？,金谷,健治,無,新,397,.,1,1,59,24,？,
2005,？,？,？,中野,栄徳,無,現,374,.,0,.,65,24,？,
2005,？,？,？,樋渡,勝男,無,現,351,.,0,.,70,24,？,
2009,1,.,望月 たかし ,望月,卓,無所属 ,現 ,863,700,1,3,63,20,？,
2009,2,.,森 すなお ,森,淳,無所属 ,現 ,"1,178",837,1,3,52,20,？,
2009,3,.,松山 かつ子 ,松山,克子,無所属 ,現 ,946,965,1,3,65,20,？,
2009,4,.,金谷 けんじ ,金谷,健治,無所属 ,現 ,581,397,0,.,63,20,？,
2009,5,.,山中 やすひろ ,山中,康宏,無所属 ,新 ,"1,458",.,1,1,62,20,？,
2009,6,.,かとう 貞一郎 ,加藤,貞一郎,無所属 ,新 ,"1,341",.,1,1,57,20,？,
2009,7,.,赤祖父 ゆみ ,赤祖父,裕美,無所属 ,現 ,938,972,1,3,48,20,？,
2009,8,.,立入 よしはる ,立入,善治,日本共産党 ,新 ,992.44,.,1,1,57,20,？,
2009,9,.,福島 きよひこ ,福島,清彦,無所属 ,現 ,"1,128",907,1,3,67,20,？,
2009,10,.,植中 みやこ ,植中,都,無所属 ,現 ,"1,059",1066,1,3,64,20,？,
2009,11,.,うかい やち子 ,鵜飼,八千子,公明党 ,現 ,"1,227",1151,1,3,52,20,？,
2009,12,.,田渕 潤治 ,田渕,潤治,無所属 ,新 ,393,.,0,0,61,20,？,
2009,13,.,鈴木 みちえ ,鈴木,美智枝,公明党 ,現 ,"1,121",1170,1,3,68,20,？,
2009,14,.,坂田 政富 ,坂田,政富,日本共産党 ,現 ,819,890,1,3,65,20,？,
2009,15,.,石原 よしはる ,石原,善春,無所属 ,現 ,"1,261.56",1152,1,3,59,20,？,
2009,16,.,いじち よしお ,伊地智,良雄,無所属 ,現 ,999,898,1,3,58,20,？,
2009,17,.,塚本 しげき ,塚本,茂樹,無所属 ,新 ,837,.,1,1,44,20,？,
2009,18,.,松原 栄樹 ,松原,栄樹,無所属 ,現 ,"1,323",.,1,2,60,20,？,
2009,19,.,松井 けい子 ,松井,圭子,日本共産党 ,現 ,"1,260",.,1,2,42,20,？,
2009,20,.,山本 吉宗 ,山本,吉宗,無所属 ,現 ,"1,261",1041,1,3,69,20,？,
2009,21,.,くわはらだ 郁郎 ,桑原田,郁郎,公明党 ,現 ,"1,153",1020,1,2,51,20,？,
2009,22,.,やの 進次 ,矢野,進次,無所属 ,現 ,"1,157",1146,1,3,68,20,？,
2013,1,8,立入 よしはる ,立入,善治,日本共産党 ,現 ,"1,026.50",992.44,1,2,？,18,？,
2013,2,2,森 すなお ,森,淳,無所属 ,現 ,967,1178,1,4,？,18,？,
2013,3,.,くわはらだ 美知子 ,桑原田,美知子,公明党 ,新 ,"1,484",.,1,1,？,18,？,
2013,4,7,赤祖父 ゆみ ,赤祖父,裕美,無所属 ,現 ,"1,088",938,1,4,？,18,？,
2013,5,11,うかい やち子 ,鵜飼,八千子,公明党 ,現 ,"1,651",1227,1,4,？,18,？,
2013,6,15,石原 よしはる ,石原,善春,無所属 ,現 ,"1,045.50",1261.559,1,4,？,18,？,
2013,7,3,松山 かつ子 ,松山,克子,無所属 ,現 ,906,946,1,4,？,18,？,
2013,8,.,粟津 寛三 ,粟津,寛三,無所属 ,新 ,739,.,1,1,？,18,？,
2013,9,19,松井 けい子 ,松井,圭子,日本共産党 ,現 ,"1,301",1260,1,3,？,18,？,
2013,10,17,塚本 しげき ,塚本,茂樹,無所属 ,現 ,"1,249",837,1,2,？,18,？,
2013,11,22,やの 進次 ,矢野,進次,無所属 ,現 ,858,1157,1,4,？,18,？,
2013,12,10,植中 みやこ ,植中,都,無所属 ,現 ,"1,007",1059,1,4,？,18,？,
2013,13,1,望月 たかし ,望月,卓,無所属 ,現 ,693,863,1,4,？,18,？,
2013,14,18,松原 栄樹 ,松原,栄樹,無所属 ,現 ,"1,002",1323,1,3,？,18,？,
2013,15,.,大角 みちお ,大角,道雄,無所属 ,新 ,666,.,0,0,？,18,？,
2013,16,20,山本 吉宗 ,山本,吉宗,無所属 ,現 ,"1,265",1261,1,4,？,18,？,
2013,17,4,金谷 けんじ ,金谷,健治,無所属 ,元 ,298,581,0,.,？,18,？,
2013,18,6,かとう 貞一郎 ,加藤,貞一郎,無所属 ,現 ,960,1341,1,2,？,18,？,
2013,19,.,すがぬま 利紀 ,菅沼,利紀,無所属 ,新 ,"1,323",.,1,1,？,18,？,
2013,20,.,上の まさよ ,上野,雅代,無所属 ,元 ,721,.,1,3,？,18,？,
2017,1,.,小林 よしのり,小林,義典,無所属,新,992,.,1,1,61,18,0,
2017,2,18,かとう 貞一郎,加藤,貞一郎,無所属,現,"1,119",960,1,3,65,18,0,
2017,3,14,松原 栄樹,松原,栄樹,無所属,現,"1,079",1002,1,4,68,18,0,
2017,4,.,田渕 潤次,田淵,潤治,無所属,新,204,.,0,0,69,18,0,
2017,5,12,植中 みやこ,植中,都,無所属,現,"1,051",1007,1,5,72,18,0,
2017,6,1,立入 よしはる,立入,善治,日本共産党,現,958,1026.495,1,3,65,18,0,
2017,7,13,望月 たかし,望月,卓,無所属,現,906,693,1,5,71,18,0,
2017,8,.,小山 まさのり,小山,正則,無所属,新,474,.,0,0,53,18,0,
