新聞表記_氏名,得票数2005,得票数2009,得票数2013,得票数2017,得票数2021
粟津寛三,,,739,532,633
伊地智良雄,898,999,,,
鵜飼八千子,1151,1227,1651,,
永田誠治,,,,,784
奥村幹郎,,,,866,824
加藤貞一郎,,1341,960,1119,779
金谷健治,397,581,298,,
桑原田郁郎,1020,1153,,,
桑原田美知子,,,1484,1482,
細川ゆかり,,,,1550,1419
坂田政富,890,819,,,
山中康宏,,1458,,,
山本吉宗,1041,1261,1265,,
柴田栄一,,,,,1311
小山正則,,,,474,
小林義典,,,,992,633
松井圭子,,1260,1301,1475,1135
松原栄樹,,1323,1002,1079,1189
松山克子,965,946,906,818,
松本浩有,473,,,,
上西保,1163,,,,
上野雅代,975,,721,,
上野顕介,,,,1171,1529
植中都,1066,1059,1007,1051,
森淳,837,1178,967,897,815
菅沼利紀,,,1323,2622,1167
石原善春,1152,1261.559,1045.504,,
赤祖父裕美,972,938,1088,1786,1183
川波忠臣,,,,,682
曽我部一帆,,,,,348
大角道雄,,,666,1018,
大久保英雄,992,,,,
大継健蔵,740,,,,
大島正秀,,,,994,658
谷靖啓,1370,,,,
中村武治,1167,,,,
中土翔太,,,,,1850
中野栄徳,374,,,,
塚本茂樹,,837,1249,,
田中文子,730,,,,
田淵潤治,,393,,204,
藤川みゆき,,,,1596,1419
樋渡勝男,351,,,,
副田悦子,,,,,1538
福島清彦,907,1128,,,
望月卓,700,863,693,906,691
堀田繁樹,,,,828,868
矢野進次,1146,1157,858,,
立入勲,1077,,,,
立入善治,,992.44,1026.495,958,
鈴木美智枝,1170,1121,,,
総計,23724,23295.999,20249.999,24418,21455
