選挙年,届出番号,前回届出番号,候補者名,新聞表記_姓,新聞表記_名,党派,現元新,得票数,前回得票数,当落,新聞当選回数
2013,1,.,立入 よしはる ,立入,善治,日本共産党 ,現 ,"1,026.50",.,当,2
2013,2,.,森 すなお ,森,淳,無所属 ,現 ,967,.,当,4
2013,3,.,くわはらだ 美知子 ,桑原田,美知子,公明党 ,新 ,"1,484",.,当,1
2013,4,.,赤祖父 ゆみ ,赤祖父,裕美,無所属 ,現 ,"1,088",.,当,4
2013,5,.,うかい やち子 ,鵜飼,八千子,公明党 ,現 ,"1,651",.,当,4
2013,6,.,石原 よしはる ,石原,善春,無所属 ,現 ,"1,045.50",.,当,4
2013,7,.,松山 かつ子 ,松山,克子,無所属 ,現 ,906,.,当,4
2013,8,.,粟津 寛三 ,粟津,寛三,無所属 ,新 ,739,.,当,1
2013,9,.,松井 けい子 ,松井,圭子,日本共産党 ,現 ,"1,301",.,当,3
2013,10,.,塚本 しげき ,塚本,茂樹,無所属 ,現 ,"1,249",.,当,2
2013,11,.,やの 進次 ,矢野,進次,無所属 ,現 ,858,.,当,4
2013,12,.,植中 みやこ ,植中,都,無所属 ,現 ,"1,007",.,当,4
2013,13,.,望月 たかし ,望月,卓,無所属 ,現 ,693,.,当,4
2013,14,.,松原 栄樹 ,松原,栄樹,無所属 ,現 ,"1,002",.,当,3
2013,15,.,大角 みちお ,大角,道雄,無所属 ,新 ,666,., ,0
2013,16,.,山本 吉宗 ,山本,吉宗,無所属 ,現 ,"1,265",.,当,4
2013,17,.,金谷 けんじ ,金谷,健治,無所属 ,元 ,298,., ,0
2013,18,.,かとう 貞一郎 ,加藤,貞一郎,無所属 ,現 ,960,.,当,2
2013,19,.,すがぬま 利紀 ,菅沼,利紀,無所属 ,新 ,"1,323",.,当,1
2013,20,.,上の まさよ ,上野,雅代,無所属 ,元 ,721,.,当,3
2017,1,.,小林 よしのり,小林,義典,無所属,新,992,.,当,1
2017,2,18,かとう 貞一郎,加藤,貞一郎,無所属,現,"1,119",960,当,3
2017,3,14,松原 栄樹,松原,栄樹,無所属,現,"1,079",1002,当,4
2017,4,.,田渕 潤次,田淵,潤治,無所属,新,204,.,,0
2017,5,12,植中 みやこ,植中,都,無所属,現,"1,051",1007,当,5
2017,6,1,立入 よしはる,立入,善治,日本共産党,現,958,1026.495,当,3
2017,7,13,望月 たかし,望月,卓,無所属,現,906,693,当,5
2017,8,.,小山 まさのり,小山,正則,無所属,新,474,.,,0
2017,9,9,松井 けい子,松井,圭子,日本共産党,現,"1,475",1301,当,4
2017,10,3,くわはらだ 美知子,桑原田,美知子,公明党,現,"1,482",1484,当,2
2017,11,20,上野 けんすけ,上野,顕介,無所属,現,"1,171",721,当,2
2017,12,19,すがぬま 利紀,菅沼,利紀,自由民主党,現,"2,622",1323,当,2
2017,13,7,松山 かつ子,松山,克子,無所属,現,818,906,,0
2017,14,.,大島 正秀,大島,正秀,無所属,新,994,.,当,1
2017,15,2,森 すなお,森,淳,無所属,現,897,967,当,5
2017,16,.,細川 ゆかり,細川,ゆかり,公明党,新,"1,550",.,当,1
2017,17,.,堀田 しげき,堀田,繁樹,無所属,現,828,.,当,2
2017,18,8,あわづ ひろみ,粟津,寛三,無所属,現,532,739,,0
2017,19,.,藤川 みゆき,藤川,みゆき,無所属,現,"1,596",.,当,2
2017,20,4,赤祖父 ゆみ,赤祖父,裕美,無所属,現,"1,786",1088,当,5
2017,21,.,奥村 みきお,奥村,幹郎,無所属,新,866,.,当,1
2017,22,15,大角 みちお,大角,道雄,無所属,新,"1,018",666,当,1
